Web table 21. The Universe of Special Economic Zones (SEZs), 2018;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Economya;;Terms used for SEZs (number counted) ;Number of SEZs (established by law);Of which, under development;Size;;;;;;;Functionality ;;;;"Number of single-enterprise zones (""free points"") ";Number of SEZs in planningb;;Year of the first promulgation of lawc;;National SEZ law or other legal frameworkd ;;Sources;;
;;;;;"0–20 ha	";20.1–100 ha;100.1–500 ha;500.1–1 000 ha;More than 1 000 ha;Not available;;Logistics hub ;Multi-activity or unspecified ;Specialized;Innovation-driven;;;;;;;;;;
Global;;;5 383;474;713;556;1 518;837;658;1 101;;452;3 346;1 294;291;8 368;507;;;;;;;;
Developed economies;;;374;5;8;9;10;7;18;322;;339;32;3;0;..;..;;;;;;;;
Andorra;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Australia;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Austria;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Belgium;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Bulgaria;;Industrial zone (5), FZ (4) ;9;5;3;3;1;0;0;2;;1;8;0;0;..;0;;..;;..;;"National Company Industrial Zone; National Customs Agency";;
Canada;;;0;..;..;..;..;..;..;..;;..;..;..;..;..;0;;..;;..;;Department of Finance;;
Croatia;;FZ ;11;0;1;3;3;1;3;0;;11;0;0;0;..;0;;..;;..;;Ministry of Economy, Entrepreneurship and Crafts;;
Cyprus;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;0;;..;;;;Cyprus Customs and Excise Department;;
Czechia;;FZ (4), SEZ (3);7;0;0;0;0;0;0;7;;4;3;0;0;..;0;;..;;..;;"Customs Administration; CzechInvest 

";;
Denmark;;FZ ;1;0;0;0;0;1;0;0;;1;0;0;0;..;..;;..;;..;;Danish Customs Agency;;
Estonia;;FZ (2), SEZ(1);3;0;1;0;0;0;0;2;;3;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Finland;;FZ (2);2;0;0;0;0;0;0;2;;2;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
France;;FZ ;2;0;0;1;0;0;0;1;;2;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Germany;;FZ ;2;0;0;0;0;0;0;2;;2;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Greece;;FZ;4;0;0;0;0;0;0;4;;4;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Hungary;;FZ ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Iceland;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Ireland;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;0;;..;;;;European Commission, Taxation and Customs Union;;
Israel;;FTZ;1;0;0;0;0;0;1;0;;1;0;0;0;..;0;;..;;Free Trade Zone Act in Eilat, 1985;;Invest in Israel;;
Italy;;FZ ;2;0;0;0;0;0;0;2;;2;0;0;0;..;..;;..;;Decree-Law on Urgent provisions for economic growth in the South, No. 91, 2017 e;;European Commission, Taxation and Customs Union;;
Japan;;International logistics hub industry development zone (2), ISP, data infrastructure special region (3), economic stimulation special region (1);6;0;0;0;1;0;5;0;;2;1;3;0;..;..;;2002;;Act on Special Measures for the Promotion and Development of Okinawa, Act No. 14, 2002;;Okinawa Industry Promotion Public Corporation;;
Latvia;;FZ;4;0;0;0;0;0;0;4;;4;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Liechtenstein ;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Lithuania;;FZ (10), free EZ (6);16;0;0;2;4;0;0;10;;10;6;0;0;..;..;;..;;..;;"European Commission, Taxation and Customs Union; Invest Lithuania
";;
Luxembourg;;FZ;1;0;1;0;0;0;0;0;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union ;;
;;;;;;;;;;;;;;;;;;;;;;;Le Freeport;;
Malta;;FZ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Monaco;;Freeport;1;0;1;0;0;0;0;0;;1;0;0;0;..;..;;..;;..;;Monaco Freeport;;
Netherlands;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
New Zealand;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Norway;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Poland;;FZ (7), SEZ (14);21;0;0;0;0;5;9;7;;7;14;0;0;..;..;;1994;;Act on Special Economic Zones, 1994;;European Commission, Taxation and Customs Union;;
Portugal;;FZ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Romania;;FZ;6;0;0;0;0;0;0;6;;6;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
San Marino;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Slovakia;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Slovenia;;FZ;1;0;0;0;1;0;0;0;;1;0;0;0;..;..;;..;;..;;Ministry of Finance;;
Spain;;FZ ;7;0;0;0;0;0;0;7;;7;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Sweden;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Switzerland;;Freeport;1;0;1;0;0;0;0;0;;1;0;0;0;..;..;;1854;;..;;"Geneva Free Ports & Warehouses
";;
;;;;;;;;;;;;;;;;;;;;;;;Swiss Federal Audit Office;;
United Kingdom;;FZ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
United States of America;;Foreign-trade zone;262;..;0;0;0;0;0;262;;262;0;0;0;..;..;;1934;;Foreign-Trade Zones Act of June 18, 1934;;United States Foreign-Trade Zones Board;;
;;;;;;;;;;;;;;;;;;;;;Designation of enterprise zones, L. 102–550, 1992;;;;
;;;;;;;;;;;;;;;;;;;;;Regulations of the Foreign-Trade Zones Board, 15 CFR Part 400, 2012;;;;
Developing economies;;;4 772;451;691;512;1 477;819;621;652;;107;3 233;1 152;280;8 367;502;;;;;;;;
Africa;;;237;51;7;18;32;10;15;155;;2;211;24;0;216;53;;;;;;;;
Algeria;;FZ ;1;0;0;0;0;0;0;1;;0;1;0;0;..;..;;1993;;..;;National Agency of Investment Development;;
;;;;;;;;;;;;;;;;;;;;;;;United States Department of State (2018);;
Angola;;SEZ;1;0;0;0;0;0;1;0;;0;1;0;0;0;..;;2009;;Legal Regime of Special Economic Zones, Decree No.6-15, 2015;;Luanda-Bengo E.P. Special Economic Zone Development Company;;
;;;;;;;;;;;;;;;;;;;;;Presidential Decree no. 50/09 on Creation of the Luanda-Bengo SEZ;;;;
Benin;;SEZ;0;0;0;0;0;0;0;0;;0;0;0;0;0;..;;2005;;Loi no. 2017-07 du 19 juin 2017 fixant le régime des Zones économiques spéciales en République du Bénin  ;;Office of the President;;
Botswana;;"SEZ (8), enterprise zone, EPZ, FTZ (""commercial SEZ""), single factory zone, specialised zone";8;8;0;0;0;0;0;8;;0;8;0;0;0;..;;..;;Special Economic Zones Act, 2015;;SEZ Authority Botswana;; 
Burkina Faso;;SEZ ;2;2;0;0;0;0;0;2;;0;2;0;0;0;..;;..;;Loi No.038-2018/AN portant Code des Investissements;;"Agence Burkinabé des Investissements (ABI); Direction générale de la promotion de l'entreprise ";;
Burundi;;FZ;0;0;0;0;0;0;0;0;;0;0;0;0;..;1;;1992;;La Loi No. 1/015 du 31 juillet 2001 portant Révision du décret-Loi No. 1/3 du 31 aout 1992 portant création d'un régime de zone franche au Burundi;;Government of Burundi;;
Cabo Verde;;International business centre;1;0;0;0;0;0;0;1;;0;1;0;0;..;..;;1989;;Decree Law No. 57/2017;;"Cabo Verde TradeInvest; UNCTAD (2018); United States Department of State (2018)
";;
Cameroon;;Industrial zone ;9;0;0;2;4;0;1;2;;0;9;0;0;0;5;;1990;;"Le régime de la Zone Franche, 1990;  Régissant les zones économiques au Cameroun, Loi no. 2013/011 du 16 décembre 2013";;Industrial Zones Development and Management Authority;;
Central African Republic;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Chad;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Comoros;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Congo;;SEZ;4;4;0;0;0;0;4;0;;0;4;0;0;..;..;;..;;Loi no. 24-2017 du 9 juin 2017 relative à la création des zones économiques spéciales, à la détermination de leur régime et de leur organisation ;;Ministry of Special Economic Zones;;
Côte d'Ivoire;;Technology village;1;0;0;0;0;0;0;1;;0;0;1;0;..;..;;2004;;;;Secrétariat d'Etat Auprès du Premier Ministre Charge de L'investissement Privé;;
Djibouti;;FZ (2), international development FZ (1);3;..;0;2;1;0;0;0;;0;3;0;0;..;3;;1980;;Djibouti Code des zones franches, Loi no. 53/AN/04 du 17 mai 2004;;Djibouti Free Zone ;;
;;;;;;;;;;;;;;;;;;;;;;;"Djibouti Ports & Free Zones Authority; KPMG International (2017); United States Department of State (2018); WTO (2014) ";;
Democratic Republic of the Congo;;SEZ;1;0;0;0;0;1;0;0;;0;1;0;0;0;4;;1981;;Loi no.14/022 fixant le régime des zones économiques spéciales en République Démocratique du Congo, 2014;;National Investment Promotion Agency;;
Egypt;;Free zone (9), SEZ (1);10;1;1;4;3;1;1;0;;0;10;0;0;..;..;;1975;;Law of Economic Zones of a Special Nature, No. 83 of 2002;;General Authority for Investment and Free Zones;;
Equatorial Guinea;;Freeport (1), SEZ (1) ;2;1;0;1;0;0;1;0;;1;1;0;0;..;1;;..;;..;;Invest Equatorial Guinea;;
;;;;;;;;;;;;;;;;;;;;;;;Luba Freeport Limited ;;
Eritrea;;FZ (1), freeport (1);2;..;0;0;0;0;0;2;;1;1;0;0;..;..;;2001;;Eritrean free zones proclamation, No.115/2001;;Africa Free Zone Association;;
;;;;;;;;;;;;;;;;;;;;;;;International Trade Centre;;
Eswatini;;SEZ;2;0;0;0;0;0;0;2;;0;2;0;0;..;..;;2018;;Special Economic Zones Act, Act No. 3 of 2018;;Swaziland Investment Promotion Agency;;
Ethiopia;;Industrial park;18;0;0;3;10;4;1;0;;0;5;13;0;..;..;;2012;;Industrial Park Proclamation, No. 886/2015;;Ethiopia Investment Commission;;
Gabon;;SEZ;2;1;0;0;0;1;1;0;;0;0;2;0;0;..;;2001;;Law No.010/2011 on the Regulation of the Special Economic Zones in the Gabonese Republic;;Gabon Special Economic Zone;;
;;;;;;;;;;;;;;;;;;;;;;;"Ministry of Economy; Ministry of Investments";;
Gambia, The;;Business park (1), EPZ, SEZ;1;1;0;0;1;0;0;0;;0;1;0;0;5;..;;2001;;The Gambia Free Trade Zones Act 2001;;The Gambia Investment Promotion Agency;;
;;;;;;;;;;;;;;;;;;;;;Gambia Investment and Export Promotion Agency Act, 2015;;;;
Ghana;;EPZ ;4;0;0;0;2;1;1;0;;0;2;2;0;..;..;;1995;;The Free Zone Act, 1995;;Ghana Free Zones Board;;
Guinea;;SEZ;1;1;0;0;0;0;0;1;;0;1;0;0;..;..;;2017;;Decree of the 25th of April 2017 creating a SEZ in the Boké region;;Ministry of Industry, Commerce and the Promotion of the Private Sector;;
Guinea-Bissau;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Kenya;;EPZ;61;0;0;0;0;0;0;61;;0;61;0;0;10;..;;1990;;Export Processing Zones Act 12 of 1990;;Export Processing Zone Authority;;
;;;;;;;;;;;;;;;;;;;;;Special Economic Zones Act, No. 16 of 2015;;;;
Lesotho;;;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;;;;;;Lesotho National Development Corporation;;
Liberia;;Industrial park ;1;0;0;0;1;0;0;0;;0;1;0;0;..;..;;1948;;Special Economic Zone Act of 2017;;Ministry of Commerce and Industry;;
Libya;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Madagascar;;EPZ (2), SEZ (2);4;2;0;0;0;1;1;2;;0;2;2;0;..;..;;1989;;Loi No. 2017-023 sur les Zones Economiques Spéciales (ZES) à Madagascar;;Madagascar Export Processing Zone Association;;
;;;;;;;;;;;;;;;;;;;;;Loi No. 2007-037 sur les Zones et Entreprises Franches à Madagascar;;;;
Malawi;;EPZ;0;0;0;0;0;0;0;0;;0;0;0;0;11;3;;1995;;Export Processing Zones Act, No. 11 of 1995;;"Malawi Investment and Trade Centre; United States Department of State (2018)";;
Mali;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;1;;1991;;La loi no.2012-016 du 12 février 2012 portant Code des Investissements;;Sahel and West Africa Club Secretariat (2018) ;;
Mauritania;;FZ ;1;0;0;0;0;0;0;1;;0;1;0;0;..;..;;2002;;Loi no. 52/2012 portant Code des Investissements du 31 Juillet 2012;;Zone Franche de Nouadhibou;;
;;;;;;;;;;;;;;;;;;;;;La loi 2013-001 du 2 janvier 2013 ;;;;
Mauritius;;Freeport ;1;0;0;0;1;0;0;0;;0;1;0;0;9;1;;1970;;"Freeport Act, No. 43 of 2004 (last amended 2015); Freeport Regulations 2005";;Economic Development Board;;
;;;;;;;;;;;;;;;;;;;;;;;Ministry of Industry, Commerce and Consumer Protection, Industry Division;;
Morocco;;FZ ;6;0;0;2;4;0;0;0;;0;2;4;0;..;..;;1994;;Export Processing Zones, Law No. 19/94;;Ministry of Industry, Investment, Trade and Digital Economy;;
Mozambique;;SEZ;2;0;0;0;0;0;0;2;;0;2;0;0;..;24;;2007;;Zonas de Processamento de Exportação (ZPE), Lei no. 11.508, 2007;;Agency for the Promotion of Investment and Exports (APIEX);;
Namibia;;EPZ;0;0;0;0;0;0;0;0;;0;0;0;0;..;1;;1995;;Export Processing Zones Act 9 of 1995;;Namibia Investment Centre;;
Niger;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Nigeria;;FZ (29), EPZ (2), industrial park (3), economic city (3) gas park (1)  ;38;27;0;0;0;0;0;38;;0;38;0;0;..;..;;1992;;Nigeria Export Processing Zones Act 1992, Act No. 63;;Nigeria Export Processing Zones Authority;;
Rwanda;;SEZ;2;1;0;0;2;0;0;0;;0;2;0;0;..;7;;2011;;Law Regulating Special Economic Zones in Rwanda, No.05/2011 of 21/03/2011;;"Special Economic Zones Authority of Rwanda; Ministry of Trade and Industry (2018)";;
Sao Tome and Principe;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;United States Department of State (2018);;
Senegal;;Industrial park;3;0;0;0;1;0;2;0;;0;3;0;0;..;..;;1974;;Loi no.2017?06 du 06 janvier 2017 portant sur les zones économiques spéciales (ZES);;Ministry for the Promotion of Investments and Development Partnerships;;
Seychelles;;International trade zone;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;1995;;International Trade Zone Act, 1995;;Seychelles Investment Board;;
Sierra Leone;;SEZ;1;0;0;1;0;0;0;0;;0;1;0;0;..;..;;2010;;Bilateral Agreement between the Ministry of Trade and Industry and World Hope International, 27 October 2009;;FIRST STEP Economic Opportunity Zone;;
;;;;;;;;;;;;;;;;;;;;;;;Parliament of Sierra Leone;;
Somalia;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
South Africa;;Industrial development zone (4), SEZ (3), tradeport (1);8;0;0;0;0;0;0;8;;0;8;0;0;..;..;;1989;;Special Economic Zones Act, 2014;;Department of Trade and Industry ;;
South Sudan;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Sudan;;FZ;4;0;0;0;0;0;0;4;;0;4;0;0;..;..;;1994;;Law of Free Zones and Markets, 2009;;Ministry of Investment;;
;;;;;;;;;;;;;;;;;;;;;;;Sudan Free Zones and Market;;
United Republic of Tanzania ;;EPZ (4), SEZ (3), industrial park (1);8;1;0;2;2;0;1;3;;0;8;0;0;168;..;;2002;;Export Processing Zone Act 2002;;Export Processing Zones Authority;;
;;;;;;;;;;;;;;;;;;;;;Special Economic Zones Act, Chapter 420, Revised edition of 2012;;;;
Togo;;EPZ (1), SEZ (1);2;1;0;0;0;0;0;2;;0;2;0;0;..;..;;1989;;Loi no.2011-018 portant statut de Zone Franche Industrial;;Society for the Administration of Free Zones;;
Tunisia;;FTZ;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;1992;;Loi no. 92-81 du 3 août 1992 portant création des zones franches économiques;;Foreign Investment Promotion Agency;;
Uganda;;FZ;8;0;6;1;0;1;0;0;;0;8;0;0;13;1;;2014;;Uganda Free Zones Act, 2014;;Uganda Free Zones Authority;;
Zambia;;Multifacility economic zone (4), industrial park (2);6;0;0;0;0;0;0;6;;0;6;0;0;..;..;;2001;;The Export Processing Zones Act, No. 7 of 2001;;Zambia Development Agency ;;
Zimbabwe;;SEZ;8;0;0;0;0;0;0;8;;0;8;0;0;..;..;;1995;;Special Economic Zones Act, Chapter 14:341, No. 7/2016;;Zimbabwe Special Economic Zones Authority;;
Asia ;;;4 046;371;609;387;1 414;804;583;249;;62;2 644;1 066;274;104;419;;;;;;;;
Afghanistan;;;0;0;0;0;0;0;0;0;;0;0;0;0;0;4;;..;;..;;Regional Economic Cooperation Conference on Afghanistan;;
;;;;;;;;;;;;;;;;;;;;;;;United States Department of State (2018);;
Bahrain;;International investment park;1;..;0;0;1;0;0;0;;0;1;0;0;..;..;;..;;..;;Bahrain Economic Development Board;;
Bangladesh;;EZ (30);39;24;2;15;10;1;2;0;;0;11;19;0;0;60;;1980;;The Bangladesh Economic Zones Act, 2010;;Bangladesh Economic Zones Authority;;
;;EPZ (9);;;0;0;8;0;0;1;;0;0;9;0;;;;;;Bangladesh Export Processing Zones Authority Act, 1980;;Bangladesh Export Processing Zones Authority;;
;;;;;;;;;;;;;;;;;;;;;;;Korean EPZ;;
Bhutanf;;Industrial estate/park, SEZ;0;0;0;0;0;0;0;0;;0;0;0;0;0;4;;..;;..;;Ministry of Economic Affairs, Department of Industry;;
Brunei Darussalam;;Industrial zone;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;2014;;Free Trade Zones Order, 2014;;Brunei Economic Development Board;;
;;;;;;;;;;;;;;;;;;;;;;;Brunei Industrial Development Authority;;
Cambodia;;SEZ;31;11;0;9;19;1;2;0;;1;10;20;0;..;10;;2005;;Anukret (Sub-Decree) on the Establishment and Management of the Special Economic Zone, No.148 ANK.BK (last amended in 2008);;Cambodian Special Economic Zone Board ;;
;;;;;;;;;;;;;;;;;;;;;;;Open Development Cambodia;;
;;;;;;;;;;;;;;;;;;;;;Various sub-decrees on establishment of individual SEZs;;;;
China;;Economic and technological development zone (219);2 543;0;0;2;46;86;85;0;;0;219;0;0;0;..;;1984;;Administrative Decree of the State Council;;NDRC et al. (2018) ;;
;;High-tech industry development zone (156);;0;0;1;41;58;56;0;;0;0;0;156;0;..;;1988;;;;;;
;;Special customs zone (135);;13;1;12;95;25;2;0;;15;120;0;0;0;..;;1990;;;;;;
;;Border/cross-border economic cooperation zone (19);;0;0;2;8;8;1;0;;0;19;0;0;0;..;;1992;;;;;;
;;Other types of development zones (23);;0;0;1;3;4;15;0;;0;12;11;0;0;..;;1989;;;;;;
;;Provincial-level development zone (1 991);;0;4;100;998;578;311;0;;0;1 991;0;0;0;..;;1984;;Local regulation issued by provincial government ;;;;
Hong Kong, China;;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;;;;Hong Kong Commerce and Economic Development Bureau;;
India;;Sector-specific SEZ (326), multi-sector/services SEZ (25), state government and private sector SEZ (11), central Government (exporting) SEZ (7), free trade and warehousing zone (4);373;142;176;98;62;8;11;18;;4;33;316;20;0;61;;1965;;Special Economic Zones Act, No. 28 of 2005;;Ministry of Commerce and Industry, Department of Commerce;;
Indonesia;;SEZ (12), FTZ (1);13;..;0;0;0;2;11;0;;0;1;12;0;..;..;;1973;;Law on Special Economic Zones, No.39 of 2009;;ASEAN Secretariat and UNCTAD (2017);;
;;;;;;;;;;;;;;;;;;;;;;;Kawasan Ekonomi Khusus;;
;;;;;;;;;;;;;;;;;;;;;Presidential Decree No. 41/1973 for Batam;;;;
Iran, Islamic Republic of;;SEZ;23;..;0;1;0;1;6;15;;0;21;2;0;..;..;;1993;;Establishment and Management of Special Economic Zone Law, Art.138 (last amended 2005);;Secretariat of the Supreme Council of Iran's Free Trade (2018);;
;;;;;;;;;;;;;;;;;;;;;;;Industrial and Special Economic Zone;;
;;;;;;;;;;;;;;;;;;;;;Law on the Administration of Free Trade Industrial Zones (last amended 1999);;;;
Iraq;;FZ;4;..;1;2;0;;1;0;;0;4;0;0;..;..;;1998;;..;;United States Department of State (2015);;
Jordan;;Qualifying industrial zone (10), FZ/development zone (5), SEZ (1);16;..;3;0;0;1;1;11;;0;5;11;0;24;..;;1973;;Investment Law No.30 of 2014;;Jordan Investment Commission;;
Korea, Democratic People's Republic of;;Special administrative region (1), economic (and trade) zone (7), tourist development zone (5), industrial (development) zone (4), agricultural development zone (3), EPZ (3), international green model zone (1), technological development zone (1);25;..;0;0;16;3;3;3;;0;15;9;1;0;..;;1991;;Law on Economic Development Parks, 2013;;Mimura (2015);;
Korea, Republic of;;Foreign investment zone (26), FTZ (13), free EZ (8);47;..;1;3;5;1;5;32;;6;5;33;3;80;..;;1970;;Act on Designation and Operation of Free Economic Zones (last amended in 2009);;Korean Free Economic Zones;;
;;;;;;;;;;;;;;;;;;;;;;;Korea Trade-Investment Promotion Agency;;
;;;;;;;;;;;;;;;;;;;;;Act on Designation and Management of Free Trade Zones (last amended in 2017);;;;
;;;;;;;;;;;;;;;;;;;;;Foreign Investment Promotion Act (last amended in 2017);;;;
Kuwait;;FTZ;4;..;0;0;0;0;0;4;;4;0;0;0;..;..;;1995;;Law No. 26 of 1995 on Free Zones;;Kuwait Direct Investment Promotion Authority;;
;;;;;;;;;;;;;;;;;;;;;;;National Fund for SME Development ;;
;;;;;;;;;;;;;;;;;;;;;;;STA Law Firm (2018);;
Lao People's Democratic Republic;;SEZ (10), industrial and trade area (1), development zone (1);12;1;0;1;2;2;7;0;;3;0;9;0;0;..;;2010;;Law on investment promotion, No. 14/NA, 2016;;Ministry of Planning and Investment, SEZ Promotion and Management Office;;
;;;;;;;;;;;;;;;;;;;;;Decree on Special Economic Zone and Specific Economic Zone, No.443/PM, 2010;;;;
Lebanon;;FZ;1;1;0;1;0;0;0;0;;0;1;0;0;..;..;;2008;;Law No.18, dated September 5, 2008;;Tripoli SEZ Authority;;
Macao, China;;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;;;;Macao Economic Bureau;;
