Web table 21. The Universe of Special Economic Zones (SEZs), 2018;;;;;;;;;;;;;;;;;;;;;;;;;
Malaysia;;Free industrial zone (22), free commercial zone (18), regional economic corridor (5);45;..;0;0;0;0;5;40;;0;4;40;1;..;..;;1971;;Free Zones Act 1990, Act 438;;"ASEAN Secretariat and UNCTAD (2017); Malaysian Investment Development Agency; Ministry of International Trade and Industry";;
Maldives;;Enterprise zone, EPZ, freeport, FTZ, high-technology park, industrial estate, SEZ ;0;0;0;0;0;0;0;0;;0;0;0;0;..;4;;2014;;Special Economic Zones Act, No. 24/2014;;Invest Maldives;;
;;;;;;;;;;;;;;;;;;;;;;;Ministry of Economic Development, Special Economic Zones Secretariat;;
;;;;;;;;;;;;;;;;;;;;;Presidential Decree No. 2017/1 (specifying the type of economic activities that may be carried out in SEZs and the minimum value of investment in such zones);;;;
Mongolia;;FTZ;3;0;0;0;0;3;0;0;;0;3;0;0;0;..;;2002;;Law on Free Zones, 12 February 2015;;Atlanbulag Free Zone;;
;;;;;;;;;;;;;;;;;;;;;;;National Development Agency ;;
;;;;;;;;;;;;;;;;;;;;;;;Zamyn-Uud Free Zone;;
Myanmar;;SEZ;3;2;0;0;0;0;3;0;;0;3;0;0;0;2;;2011;;Myanmar Special Economic Zone Law, 2014;;Ministry of Commerce, Myanmar Trade Promotion Organization;;
Nepal;;SEZ;2;1;0;1;0;1;0;0;;0;0;2;0;0;12;;2016;;Special Economic Zone Act, 2073 (2016);;Special Economic Zone Authority;;
;;;;;;;;;;;;;;;;;;;;;;;"United States Department of State (2018); WTO (2018)";;
Oman;;FZ (3), SEZ (1);4;..;0;0;0;0;1;3;;0;4;0;0;..;..;;2002;;Free Zones Law No.56/2002;;Duqm SEZ Authority;;
Pakistan;;SEZ;7;..;0;3;2;1;1;0;;0;7;0;0;..;39;;1980;;Special Economic Zones Act, No. XX of 2012;;Pakistan Board of Investment;;
Philippines;;ECOZONE: IT center (294), manufacturing EZ (102), IT park (76), agro-industrial EZ (28), tourism SEZ (25), medical tourism center (2) medical tourism park (1);528;143;396;98;30;1;3;0;;0;0;528;0;..;220;;1969;;Special Economic Zone Act of 1995, Republic Act No. 7916;;ASEAN Secretariat and UNCTAD (2017);;
;;;;;;;;;;;;;;;;;;;;;;;Philippine Economic Zone Authority (PEZA);;
Qatar;;FZ;2;..;0;0;0;1;1;0;;0;2;0;0;..;..;;2005;;Law No. 34 of 2005 on Investment Free Zones;;Qatar Free Zone Authority;;
Saudi Arabia;;SEZ;10;..;1;2;1;0;6;0;;0;10;0;0;..;..;;2000;;..;;Ministry of Economy and Planning  ;;
Singapore;;FTZ;10;..;1;3;3;0;0;3;;10;0;0;0;..;..;;1969;;Free Trade Zones Act, Chapter 114 (revised edition 2014);;ASEAN Secretariat and UNCTAD (2017);;
Sri Lanka;;EPZ (11), industrial park (1);12;..;5;2;5;0;0;0;;0;12;0;0;..;..;;1978;;Board of Investment of Sri Lanka Law, No. 4 of 1978;;Board of Investment of Sri Lanka;;
State of Palestine;;Industrial park/estate (3), FZ (1);4;2;0;4;0;0;0;0;;0;2;2;0;..;..;;1998;;Law No. 10/1998 regarding Industrial Estates and Industrial Free Zones;;Palestinian Industrial Estates and Free Zones Authority;;
Syrian Arab Republic;;FZ (9), industrial zone (3);12;..;0;0;0;0;0;12;;9;3;0;0;..;..;;1972;;"Decree No. 51 of 2006; Decree No. 8 of 2007; Decree No. 40 of 2013; Resolution No. 129 of 2007   ";;"Free Trade Zones Establishment; Ministry of Economy and Foreign Trade; Ministry of Finance";;
Taiwan Province of China;;EPZ (10);27;0;5;3;2;0;0;0;;0;10;0;0;0;..;;1965;;Statute for Establishing and Management of Export Processing Zones, 1965 ;;InvestTaiwan;;
;;Free trade port (7) ;;0;0;5;1;1;0;0;;0;7;0;0;0;..;;2003;;Act for the Establishment and Management of Free Trade Zones (last amended 2019);;;;
;;Environmental science and technology park (4);;0;0;4;0;0;0;0;;0;0;0;4;0;..;; ;;;;;;
;;Agricultural biotechnology park (3);;0;0;0;2;1;0;0;;0;0;3;0;0;..;; ;;;;;;
;;Science park (3);;0;0;0;0;0;3;0;;0;0;0;3;0;..;;;;;;;;
Thailand;;General industrial zone (54), EPZ(10), SEZ (10);74;10;1;6;39;11;11;6;;0;62;12;0;..;..;;1979;;Industrial Estate Authority of Thailand Act, B.E. 2522 (1979);;ASEAN Secretariat and UNCTAD (2017);;
;;;;;;;;;;;;;;;;;;;;;;;Open Development Thailand;;
;;;;;;;;;;;;;;;;;;;;;Various policies on SEZs announced by the National Council for Peace and Order;;;;
Timor-Leste;;Special social market economy zone;1;..;0;0;0;0;1;0;;0;0;1;0;0;..;;2014;;Law Creating the Special Administrative Region of Oecusse and establishes the Special Zone of Social Market Economy, Law No. 3/2014;;Office of Special Regional Administrative Oecusse Ambeno Authority (RAEOA) and ZEESM;;
;;;;;;;;;;;;;;;;;;;;;;;TradeInvest Timor-Leste;;
Turkey;;Technology development zone (83), FZ (19);102;21;5;5;6;2;2;82;;3;11;4;84;..;..;;1985;;Free Zones Law, No. 3218, 1985;;Invest in Turkey;;
;;;;;;;;;;;;;;;;;;;;;Technology Development Zones Law, No. 4691, 2001;;Ministry of Science and Technology;;
United Arab Emirates;;FZ;47;..;7;3;9;3;11;14;;5;21;20;1;..;..;;1980;;Jebel Ali Free Zone Law, No.1, 1980;;UAE Free Zones;;
;;;;;;;;;;;;;;;;;;;;;;;World Free Zones Organization;;
Viet Nam;;EZ (15), EPZ (3), high-tech park (1) ;19;..;0;0;0;0;16;3;;0;15;3;1;..;3;;1991;;Decree No.82/2018/ND-CP (on management of industrial parks and EZs);;"UNIDO (2015)
";;
;;;;;;;;;;;;;;;;;;;;;Decree No.04/2018/ND-CP (on incentive regulations and policies for Da Nang High-Tech Park);;;;
Yemen;;FZ (1);1;..;0;0;0;0;0;1;;1;0;0;0;..;..;;1993;;Free Zones Law, No.4 of 1993;;General Investment Authority;;
Oceania;;;3;1;0;0;0;0;2;1;;0;3;0;0;..;6;;;;;;;;
Fiji;;Tax FZ (1), EZ;1;0;0;0;0;0;0;1;;0;1;0;0;..;1;;1991;;Tax Free Zones Decree 1991g ;;Investment Fiji;;
;;;;;;;;;;;;;;;;;;;;;;;Ministry of Ministry of Industry, Trade and Tourism;;
;;;;;;;;;;;;;;;;;;;;;;;Revenue and Customs Service ;;
Kiribati;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;0;;;;;;Ministry of Commerce, Industry and Cooperatives ;;
Marshall Islands;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Micronesia, Federated States of;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Nauru;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Palau;;FTZ (1), tax FZ (1) ;2;1;0;0;0;0;2;0;;0;2;0;0;..;..;;2003;;Free Trade Zone, Chapter 10, Title 28 Foreign Relations and Trade, Palau National Code (revised 2014);;Pacific Islands Legal Information Institute;;
;;;;;;;;;;;;;;;;;;;;;;;United States Department of State (2018) ;;
;;;;;;;;;;;;;;;;;;;;;National Capitol Complex Tax Free Zone, Chapter 24, Title 40 Revenue and Taxation, Palau National Code (revised 2014)  ;;;;
Papua New Guinea;;FTZ, free commercial zone, free industrial zone;0;0;0;0;0;0;0;0;;0;0;0;0;..;4;;2000;;Free Trade Zone Act 2000, No. 18 of 2000;;Business Advantage PNG (2019);;
Samoa;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;;;;;Industry Development and Investment Promotion Division, Ministry of Commerce Industry and Labour;;
Solomon Islands;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;..;;EIU (2018);;
Tonga;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Tuvalu;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Vanuatu;;;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;;;;;;"Vanuatu Investment Promotion Authority; Vanuatu SEZ Working Committee";;
Latin America and the Caribbean;;;486;28;75;107;31;5;21;247;;43;375;62;6;8 047;24;;;;;;;;
Antigua and Barbuda;;Free trade processing zone (1), SEZ (1);2;1;0;0;1;0;0;1;;0;1;1;0;..;..;;1994;;Special Economic Zone Act, No. 17 of 2015 ;;"Antigua and Barbuda Investment Authority; Free Trade and Processing Zone Commission";;
Argentina;;FZ (12), custom area (1), technology park (1);14;..;1;3;1;0;0;9;;12;1;0;1;0;..;;1994;;Ley de Zonas Francas No.24.331 de 18/05/1994;;Federal Administration of Public Revenues ;;
Aruba;;FZ (1), green zone/park (1);2;1;0;1;0;0;0;1;;0;2;0;0;..;..;;..;;..;;Aruba Investment Agency;;
Bahamas;;Agro-industrial park (5), freeport (1);6;0;0;0;0;0;0;6;;1;0;5;0;..;..;;1955;;The Bahamas Free Trade Zone Act, Chapter 325, No. 25 of 1984;;Ministry of Financial Services, Trade, Industry and Immigration;;
;;;;;;;;;;;;;;;;;;;;;The Hawksbill Creek Agreement, 1955;;Grand Bahama Port Authority ;;
Barbados;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;0;;;;;;Invest Barbados;;
Belize;;EPZ (3), commercial FZ (1);4;..;3;0;0;0;0;1;;1;3;0;0;..;..;;1990;;Export Processing Zone Act, Chapter 280 (revised edition 2011);;"Invest in Belize
";;
;;;;;;;;;;;;;;;;;;;;;;;Ministry of Economic Development, Petroleum, Investment, Trade and Commerce, Investment Policy and Compliance Unit ;;
;;;;;;;;;;;;;;;;;;;;;Free Zone Act, Chapter 278 (revised edition 2011);;;;
Bolivia;;FZ;7;..;1;1;0;0;0;5;;0;7;0;0;0;..;;1990;;"Decreto supremo No.25933 of 2000; Decreto supremo No.2779 of 2016";;Free Trade Zones Association of the Americas;;
Brazil;;EPZ (25), free trade area (6), FTZ (1);32;6;0;0;3;0;6;23;;1;25;6;0;0;..;;1957;;Dispõe sobre o regime tributário, cambial e administrativo das Zonas de Processamento de Exportação, e dá outras providências, Lei No.11.508 (last amended 2012);;Ministry of Industry, Foreign Trade and Services;;
Cayman Islands;;SEZ;6;..;0;0;0;0;0;6;;0;0;6;0;0;..;;2011;;Special Economic Law (2017 Revision);;SEZ Administrator Cayman Enterprise City;;
Chile;;FTZ (2), business park (1), industrial park (1);4;1;0;2;2;0;0;0;;2;2;0;0;0;..;;1975;;Ley de Zona Franca D.F.L., No.2/2001;;"ZonAustral; Zofri S.A. Chilean";;
Colombia;;FZ;39;2;0;39;0;0;0;0;;1;36;2;0;72;..;;1958;;Ley 1004 de 2005;;National Business Association of Colombia;;
Costa Rica;;FZ/industrial park;49;..;10;7;1;0;0;31;;0;47;1;1;82;..;;1990;;Ley de Régimen de Zonas Francas, No.7210 de 1990-11-29;;Costa Rican Investment Promotion Agency;;
;;;;;;;;;;;;;;;;;;;;;;;Free Trade Zones Association of the Americas;;
Cuba;;Special development zone;1;..;0;0;0;0;1;0;;0;1;0;0;0;..;;1996;;Decreto Ley de Zonas Francas y Parques Industriales, No.165, 1995;;Mariel Special Development Zone;;
Curaçao;;FZ;2;..;0;2;0;0;0;0;;1;1;0;0;0;..;;..;;Ley de Zonas Economicas del ano 2000;;Curaçao Industrial and International Trade Development Company;;
;;;;;;;;;;;;;;;;;;;;;"Gaceta Oficial No.026 Extraordinaria del 23 de Septiembre de 2013; No. 23 Extraordinaria del 7 de Mayo de 2014";;;;
Dominica;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Dominican Republic;;FZ;73;..;34;27;9;1;0;2;;0;52;21;0;144;..;;1968;;Ley 200 de Incentivo y Protección Industrial de 2/04/1968;;National Free Zones Council;;
;;;;;;;;;;;;;;;;;;;;;Ley 8-90 sobre Fomento de Zonas Francas, 1990;;;;
Ecuador;;FZ (6), special development zone (6);12;3;0;5;3;0;3;1;;2;6;3;1;0;..;;1991;;Ley núm. 01 de zonas francas, 1991;;Ministry of industry and productivity;;
El Salvador;;FZ (12), services park/center (5);17;..;5;3;0;0;0;9;;0;16;1;0;0;..;;1990;;Ley del Régimen de Zonas Francas y Recintos Fiscales No. 461 de 15/03/1990 ;;Exports and Investments Promotion Agency;;
;;;;;;;;;;;;;;;;;;;;;Ley No.431 de Servicios Internacionales de 11/10/2007;;;;
;;;;;;;;;;;;;;;;;;;;;Ley de zonas francas industriales y de comercialization, Decreto No. 405 (last amended 2015);;;;
Grenada;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;1974;;;;Grenada Investment Development Corporation;;
Guatemala;;FZ/SEZ;18;1;0;1;0;0;0;17;;0;18;0;0;1 396;..;;1976;;Ley de la Actividad Exportadora y de Maquila, Decreto 29-89 (last amended 2005) ;;Ministry of Economy;;
;;;;;;;;;;;;;;;;;;;;;Ley de Zonas Francas, Decreto 65-89 (n.d.);;;;
Guyana;;;0;0;..;..;..;..;..;..;;..;..;..;..;..;1;;..;;..;;United States Department of State (2018);;
Haiti;;FZ (8), industrial park (5) ;13;6;4;2;2;0;0;5;;0;9;4;0;0;2;;1976;;Ley de Zonas Francas, 2002;;Ministry of Trade and Industry, Division of Free Zones;;
Honduras;;FZ;39;..;2;4;0;0;0;33;;0;39;0;0;0;..;;1976;;Zonas Industriales de Procesamiento para Exportaciones, Decreto 37 de 1987;;Free Trade Zones Association of the Americas;;
;;;;;;;;;;;;;;;;;;;;;;;Honduran Manufacturers Association ;;
Jamaicah;;FZ (11), SEZ (6);17;6;0;0;0;0;0;17;;0;17;0;0;38;3;;1976;;Special Economic Zones Act, 2016;;Jamaica Special Economic Zone Authority;;
Mexico;;Recinto fiscalizado estratégico (12), SEZ (5);17;..;1;0;1;2;1;12;;12;5;0;0;6 188;3;;1965;;Ley Federal de Zonas Económicas Especiales, 2016;;Federal Authority for the Development of Special Economic Zones;;
Nicaragua;;Industrial FZ for export;52;..;8;2;1;0;0;41;;0;51;1;0;0;..;;1976;;Ley de Zonas Francas, Ley 917, 2015;;National Free Zones Council ;;
Panama;;FZ (13), SEZ (1), city of knowledge (1);15;..;0;0;1;0;2;12;;0;13;1;1;0;5;;1948;;Ley 32 del 5 de Abril de 2011 que establece un régimen especial, integral y simplificado para el establecimiento y operación de zonas francas y dicta otras disposiciones;;Ministry of Trade and Industry;;
Paraguay;;FZ;2;..;0;2;0;0;0;0;;0;2;0;0;108;..;;1995;;Zonas Francas, No. 523/95, 1995;;Ministry of Finance;;
;;;;;;;;;;;;;;;;;;;;;Reglamentada por Decreto No.15.554 del 29 de noviembre de 1996;;;;
Peru;;Special economic development zone (3), FTZ (1);4;..;0;0;3;1;0;0;;0;4;0;0;0;3;;1989;;Ley de Bases de Zonas Francas y Zonas de Tratamiento Especial, Ley No. 25100 de 1989-09-28;;Ministry of Trade and Tourism;;
Saint Kitts and Nevis;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Saint Lucia;;FTZ;1;..;1;0;0;0;0;0;;0;1;0;0;2;..;;1983;;Free Zone Act, Chapter 15.17 (Revised edition 2016);;Free Zone Management Authority;;
;;;;;;;;;;;;;;;;;;;;;Fiscal Incentives Act, No. 15 of 1974 (for two single-entity industrial zones counted as free points);;;;
Saint Vincent and the Grenadines;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;;;;;Ministry of Agriculture, Forestry, Fisheries, Rural Transformation, Industry and Labour;;
Suriname;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Trinidad and Tobago;;FZ ;1;..;0;0;0;0;0;1;;0;0;1;0;17;..;;1988;;Free Zones Act, Chapter 81:07, Act 19 of 1988 (last amended 2015);;"Ministry of Trade and Industry (2017); Trinidad and Tobago Free Zones";;
Uruguay;;FTZ (11), freeport (8), industrial park (4);23;..;5;6;1;1;0;10;;8;7;6;2;0;6;;1923;;"Ley Zonas francas 15.921 of 17/12/1987 (on FZs, revised by Ley 19.566 of 08/12/2017); Ley Parques industriales 17.547 of 2002 and Decreto 524/005 (on industrial parks)";;Ministry of Economy and Finance;;
Venezuela, Bolivarian Republic of;;SEZ (6), national strategic development zone (3), free port (2), FTZ (2), FZ (1);14;1;0;0;2;0;8;4;;2;9;3;0;0;1;;1991;;Ley de Zonas Francas de Venezuela, Gaceta Oficial No. 34.772, 1991;;National Council for Investment Promotion;;
Transition economies;;;237;18;14;35;31;11;19;127;;6;81;139;11;1;5;;;;;;;;
Albania;;Technical and economic development area;2;2;0;1;1;0;0;0;;0;2;0;0;0;..;;2007;;Law on the Establishment and Operation of Technological and Economic Development Areas, No. 9789, 2015;;Ministry of Economic Development, Tourism, Trade and Entrepreneurship, Sector for Technical and Economic Development Areas ;;
Armenia;;Free economic zone;4;1;1;1;0;0;0;2;;0;2;1;1;0;..;;2011;;Law on Free Economic Zones, HO-193-N, 2011;;Ministry of Economic Development and Investment, Investment Policy Department ;;
Azerbaijan;;Industrial park (5), FTZ (1);6;1;2;2;0;1;0;1;;1;0;5;0;0;..;;2009;;Law on Special Economic Zones, No.791-IIIQ , 2009;;Ministry of Economy;;
Belarus;;Free EZ (6), industrial park (1);7;..;0;0;0;0;7;0;;0;5;0;2;0;..;;1998;;Law on Free Economic Zones, No. 213-Z (last amended 2016);;Ministry of Economy, Directorate-General for Investment Policy ;;
Bosnia and Herzegovina;;FZ;4;..;2;1;0;0;0;1;;0;4;0;0;0;..;;1995;;Law on Free Zones, 2016;;Ministry of Foreign Trade and Economic Relations;;
Georgia;;Free industrial zone;4;..;1;2;0;0;0;1;;0;4;0;0;0;..;;2007;;Law on Free Industrial Zones, No. 5175, 2007;;Ministry of Economic and Sustainable Development;;
Kazakhstan;;SEZ;10;..;0;0;3;2;5;0;;1;2;6;1;0;..;;1996;;Law on Special Economic Zones, No. 469-IV, 2011;;"Association of Participants of Special Economic Zones of Kazakhstan (""SezUnion"") ";;
Kosovo;;EZ;9;6;4;4;1;0;0;0;;0;9;0;0;0;..;;2003;;Law on Economic Zones, No. 04/L-159, 2013;;Kosovo Investment and Enterprise Support Agency;;
Kyrgyzstan;;Free EZ;5;..;0;0;2;0;0;3;;0;5;0;0;0;..;;1992;;Law on free economic zones, No. 62, 2014 (last amended 2017);;Bishkek FEZ ;;
;;;;;;;;;;;;;;;;;;;;;;;"Ministry of Economy; UNCTAD (2015)";;
Moldova, Republic of;;Free EZ/area;8;..;1;4;3;0;0;0;;1;0;7;0;0;..;;1995;;Law on Free Economic Zones, No. 440, 2001;;"Ministry of Economy and Infrastructure; Moldovan Investment and Export Promotion Organization (MIEPO)";;
Montenegro;;FZ;1;1;0;0;1;0;0;0;;1;0;0;0;1;..;;1994;;Law on Free Zones, 42/04, 2004;;Ministry of Economy, Department for Foreign Economic Relations;;
North Macedonia;;FZ/technological industrial development zone;15;..;2;11;2;0;0;0;;0;0;15;0;0;..;;2007;;Law on Technological Industrial Development Zones, 07-437/1, 2007 (last amended 2015);;"Macedonian Free Zones Authority, Directorate for Technological and Industrial Zones; UNCTAD (2011) ";;
Russian Federation;;Territory of advanced development (100), industrial production SEZ (10), tourism and recreational SEZ (9), technology innovative SEZ (6), large-area SEZ (2), freeport (1), innovation centre (1), port SEZ (1);130;..;1;2;9;4;5;109;;2;30;91;7;0;2;;1988;;Law on Special Economic Zones, No. 116-FZ, 2005  ;;"Federal Research Centre Informatics and Management of the Russian Academy of Sciences; Ministry of Economic Development of the Russian Federation, Department of Regional Development; Ministry for the Development of the Russian Far East, Office of Advanced Special Economic Zones Administration";;
;;;;;;;;;;;;;;;;;;;;;Federal Law No. 4730FZ/2014 on territories of priority rapid socio-economic development;;;;
Serbia;;FZ;14;..;0;7;6;1;0;0;;0;0;14;0;0;..;;1996;;Law on Free Zones;;Ministry of Finance, Administration for Free Zones;;
Tajikistan;;Free EZ;4;..;0;0;2;1;0;1;;0;4;0;0;0;..;;2005;;Law on Free Economic Zones, No. 700 (last amended 2011);;FEZ Dangara ;;
;;;;;;;;;;;;;;;;;;;;;;;FEZ Ishkoshim ;;
;;;;;;;;;;;;;;;;;;;;;;;FEZ Panj;;
;;;;;;;;;;;;;;;;;;;;;;;UNCTAD (2016);;
Turkmenistani;;Free EZ;7;7;0;0;0;0;0;7;;0;7;0;0;0;3;;1993;;Law on Free Economic Zones, No. 620-V, 2017;;Annex to the Law of Turkmenistan on Free EZs;;
;;;;;;;;;;;;;;;;;;;;;;;Free Economic Zones in the World;;
Ukraine;;SEZ, free EZ;0;0;0;0;0;0;0;0;;0;0;0;0;0;..;;1992;;Law on General Principles of Special (Free) Economic Zones Creation and Functioning, No. 2674-XII, 1992 (last amended 2006);;Ministry of Economic Development and Trade;;
Uzbekistan;;Free industrial and EZ;7;..;0;0;1;2;2;2;;0;7;0;0;0;..;;1996;;Law on Free Economic Zones, No. 220-I, 1996 (last amended 2018);;FEZ Angren;;
;;;;;;;;;;;;;;;;;;;;;;;FEZ Gijduvan;;
;;;;;;;;;;;;;;;;;;;;;;;FEZ Khazorasp;;
;;;;;;;;;;;;;;;;;;;;;;;FEZ Navoi ;;
Source: UNCTAD.;;;;;;;;;;;;;;;;;;;;;;;;;
"EZ = economic zone; EPZ = export processing zone; FTZ = free trade zone; FZ = free zone; SEZ = special economic zone";;;;;;;;;;;;;;;;;;;;;;;;;
Two dots (..) indicate that the information is not available. A blank indicates that the item is not applicable.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
a  UN Member States, Hong Kong (China), Macao (China), Taiwan Province of China and other selected economies with at least one zone.;;;;;;;;;;;;;;;;;;;;;;;;;
b  Where available, the number of officially approved or notified SEZ projects in pipeline were counted. Otherwise, the most conservative estimates were made based on secondary sources.;;;;;;;;;;;;;;;;;;;;;;;;;
c  Based on Bost (2010 and 2017) and updated where possible.;;;;;;;;;;;;;;;;;;;;;;;;;
d  National SEZ laws mapped in chapter IV.B are underlined or hyperlinked.;;;;;;;;;;;;;;;;;;;;;;;;;
e  This law has no relevance to the two zones identified. ;;;;;;;;;;;;;;;;;;;;;;;;;
"f  Two existing industrial estates and four industrial parks under construction, which the Government considers as ""SEZs"", were not counted due to the lack of information confirming the provision of special incentives and the absence of national SEZ law. The four industrial parks (scheduled to be operational in 2022-2023), nevertheless, were counted as planned SEZs. ";;;;;;;;;;;;;;;;;;;;;;;;;
g  Fiscal incentives granted under this decree expired in 2011. Incentives for enterprises with the Tax Free Zone (TFZ) license were scheduled to phase out in 2015 (WTO, 2016). No amendment or new law repealing this decree has been found.;;;;;;;;;;;;;;;;;;;;;;;;;
h Of the published list of 107 FZs, 11 FZ developers were counted as FZs. From the list of 10 SEZs, one SEZ promoter and five SEZ developers were counted as SEZs under development. Thirty-five standalone FZs and three single-entity SEZs were counted as free points. ;;;;;;;;;;;;;;;;;;;;;;;;;
i  The number of active zones was derived from the Annex to the Law of Turkmenistan on Free EZs. The three additional zones on the list of Free Economic Zones in the World (https://freeeconomiczones.weebly.com) were counted as zones under development.;;;;;;;;;;;;;;;;;;;;;;;;;
